Name	Count	Percentage
Finnish	901051	68.36
English	150409	11.41
Swedish	139880	10.61
Latin	 17426	 1.32
German	 16550	 1.26
Russian	  6445	 0.49
Multiple languages	  5127	 0.39
French	  4721	 0.36
Danish	  1787	 0.14
Estonian	  1765	 0.13
Norwegian	  1387	 0.11
Spanish	  1284	 0.10
Italian	   954	 0.07
Sami	   942	 0.07
Hungarian	   700	 0.05
Dutch	   535	 0.04
Polish	   435	 0.03
Japanese	   412	 0.03
Karelian	   407	 0.03
Czech	   358	 0.03
Undetermined	   303	 0.02
Latvian	   230	 0.02
Northern Sami	   228	 0.02
Afroasiatic (Other)	   197	 0.01
Lithuanian	   180	 0.01
Esperanto	   176	 0.01
Portuguese	   163	 0.01
Finno-Ugrian (Other)	   155	 0.01
Chinese	   143	 0.01
Icelandic	   138	 0.01
Turkish	   118	 0.01
Romanian	   113	 0.01
Bulgarian	   107	 0.01
Tatar	   107	 0.01
Arabic	   101	 0.01
Slovenian	    97	 0.01
Greek, Ancient (to 1453)	    95	 0.01
Greek, Modern (1453-)	    83	 0.01
Slovak	    83	 0.01
Ukrainian	    80	 0.01
Hebrew	    79	 0.01
Croatian	    66	 0.01
Somali	    63	 0.00
Persian	    56	 0.00
Ndonga	    55	 0.00
Albanian	    46	 0.00
Vietnamese	    45	 0.00
Afrikaans	    41	 0.00
Inari Sami	    40	 0.00
Serbian	    36	 0.00
Mari	    33	 0.00
Korean	    27	 0.00
Swahili	    25	 0.00
Faroese	    22	 0.00
Bantu (Other)	    21	 0.00
Komi	    20	 0.00
Skolt Sami	    20	 0.00
Romani	    19	 0.00
Catalan	    18	 0.00
Unrecognized	    18	 0.00
Kurdish	    16	 0.00
Udmurt	    13	 0.00
Moksha	    12	 0.00
Thai	    12	 0.00
Belarusian	    11	 0.00
Galician	    10	 0.00
Armenian	     9	 0.00
Germanic (Other)	     9	 0.00
Lule Sami	     9	 0.00
Norwegian (Bokmål)	     9	 0.00
Sanskrit	     9	 0.00
Erzya	     8	 0.00
Indonesian	     8	 0.00
Indo-European (Other)	     7	 0.00
Hindi	     6	 0.00
Southern Sami	     6	 0.00
Welsh	     6	 0.00
Bosnian	     5	 0.00
Indic (Other)	     5	 0.00
Votic	     5	 0.00
Amharic	     4	 0.00
Basque	     4	 0.00
Filipino	     4	 0.00
French, Old (ca. 842-1300)	     4	 0.00
Malay	     4	 0.00
Xhosa	     4	 0.00
Yiddish	     4	 0.00
Aramaic	     3	 0.00
Chuvash	     3	 0.00
Georgian	     3	 0.00
Iranian (Other)	     3	 0.00
Khmer	     3	 0.00
Kyrgyz	     3	 0.00
Macedonian	     3	 0.00
Papuan (Other)	     3	 0.00
Akan	     2	 0.00
Bengali	     2	 0.00
Burmese	     2	 0.00
Chechen	     2	 0.00
Gujarati	     2	 0.00
Ido	     2	 0.00
Igbo	     2	 0.00
Kalâtdlisut	     2	 0.00
Kuanyama	     2	 0.00
Lao	     2	 0.00
Luo (Kenya and Tanzania)	     2	 0.00
Malayalam	     2	 0.00
Miscellaneous languages	     2	 0.00
Moldavian	     2	 0.00
Mongolian	     2	 0.00
Nyanja	     2	 0.00
Oromo	     2	 0.00
Panjabi	     2	 0.00
Pushto	     2	 0.00
Romance (Other)	     2	 0.00
Swiss German	     2	 0.00
Tajik	     2	 0.00
Tamil	     2	 0.00
Tigrinya	     2	 0.00
Turkmen	     2	 0.00
Urdu	     2	 0.00
Yoruba	     2	 0.00
Yupik languages	     2	 0.00
Artificial (Other)	     1	 0.00
Austronesian (Other)	     1	 0.00
Berber (Other)	     1	 0.00
Chinook jargon	     1	 0.00
Coptic	     1	 0.00
Dinka	     1	 0.00
English, Middle (1100-1500)	     1	 0.00
English, Old (ca. 450-1100)	     1	 0.00
Fon	     1	 0.00
Irish	     1	 0.00
Kannada	     1	 0.00
Kazakh	     1	 0.00
Khoisan (Other)	     1	 0.00
Kikuyu	     1	 0.00
Klingon (Artificial language)	     1	 0.00
Kongo	     1	 0.00
Kru (Other)	     1	 0.00
Low German	     1	 0.00
Marathi	     1	 0.00
Nepali	     1	 0.00
No linguistic content	     1	 0.00
Oriya	     1	 0.00
Ossetic	     1	 0.00
Semitic (Other)	     1	 0.00
Serer	     1	 0.00
Sign languages	     1	 0.00
Sinhalese	     1	 0.00
Slavey	     1	 0.00
Slavic (Other)	     1	 0.00
Sumerian	     1	 0.00
Tagalog	     1	 0.00
Tai (Other)	     1	 0.00
Tibetan	     1	 0.00
Tigré	     1	 0.00
Uzbek	     1	 0.00
Zulu	     1	 0.00
